case,algorithm,n,time(ms)
1,merge,100,0.047
1,merge,100,0.024
1,merge,100,0.023
1,merge,100,0.023
1,merge,100,0.023
1,merge,1000,0.323
1,merge,1000,0.293
1,merge,1000,0.290
1,merge,1000,0.290
1,merge,1000,0.288
1,merge,10000,3.651
1,merge,10000,3.104
1,merge,10000,3.041
1,merge,10000,3.034
1,merge,10000,2.636
1,merge,100000,26.401
1,merge,100000,20.056
1,merge,100000,17.796
1,merge,100000,17.419
1,merge,100000,17.153
1,quick,100,0.007
1,quick,100,0.007
1,quick,100,0.006
1,quick,100,0.006
1,quick,100,0.007
1,quick,1000,0.089
1,quick,1000,0.090
1,quick,1000,0.089
1,quick,1000,0.091
1,quick,1000,0.089
1,quick,10000,1.121
1,quick,10000,1.159
1,quick,10000,1.155
1,quick,10000,1.122
1,quick,10000,1.131
1,quick,100000,13.828
1,quick,100000,13.595
1,quick,100000,13.403
1,quick,100000,13.703
1,quick,100000,13.632
2,merge,100,0.009
2,merge,100,0.007
2,merge,100,0.008
2,merge,100,0.007
2,merge,100,0.008
2,merge,1000,0.095
2,merge,1000,0.088
2,merge,1000,0.087
2,merge,1000,0.106
2,merge,1000,0.087
2,merge,10000,1.012
2,merge,10000,0.976
2,merge,10000,0.976
2,merge,10000,0.976
2,merge,10000,0.989
2,merge,100000,11.476
2,merge,100000,11.281
2,merge,100000,11.286
2,merge,100000,11.366
2,merge,100000,11.398
2,quick,100,0.006
2,quick,100,0.006
2,quick,100,0.006
2,quick,100,0.006
2,quick,100,0.006
2,quick,1000,0.073
2,quick,1000,0.066
2,quick,1000,0.065
2,quick,1000,0.065
2,quick,1000,0.068
2,quick,10000,0.741
2,quick,10000,0.723
2,quick,10000,0.740
2,quick,10000,0.724
2,quick,10000,0.730
2,quick,100000,8.498
2,quick,100000,8.475
2,quick,100000,8.599
2,quick,100000,8.617
2,quick,100000,8.475
3,merge,100,0.009
3,merge,100,0.007
3,merge,100,0.007
3,merge,100,0.006
3,merge,100,0.007
3,merge,1000,0.091
3,merge,1000,0.087
3,merge,1000,0.082
3,merge,1000,0.083
3,merge,1000,0.083
3,merge,10000,0.984
3,merge,10000,0.976
3,merge,10000,0.983
3,merge,10000,1.000
3,merge,10000,0.976
3,merge,100000,11.261
3,merge,100000,11.542
3,merge,100000,11.418
3,merge,100000,11.278
3,merge,100000,11.264
3,quick,100,0.006
3,quick,100,0.005
3,quick,100,0.005
3,quick,100,0.006
3,quick,100,0.005
3,quick,1000,0.067
3,quick,1000,0.066
3,quick,1000,0.064
3,quick,1000,0.067
3,quick,1000,0.065
3,quick,10000,0.756
3,quick,10000,0.755
3,quick,10000,0.776
3,quick,10000,0.837
3,quick,10000,0.731
3,quick,100000,8.638
3,quick,100000,8.581
3,quick,100000,8.324
3,quick,100000,8.557
3,quick,100000,8.476
4,merge,100,0.010
4,merge,100,0.008
4,merge,100,0.007
4,merge,100,0.008
4,merge,100,0.007
4,merge,1000,0.085
4,merge,1000,0.081
4,merge,1000,0.082
4,merge,1000,0.081
4,merge,1000,0.082
4,merge,10000,1.001
4,merge,10000,0.976
4,merge,10000,0.976
4,merge,10000,0.982
4,merge,10000,0.984
4,merge,100000,11.310
4,merge,100000,11.261
4,merge,100000,11.412
4,merge,100000,11.374
4,merge,100000,11.315
4,quick,100,0.005
4,quick,100,0.005
4,quick,100,0.005
4,quick,100,0.006
4,quick,100,0.005
4,quick,1000,0.067
4,quick,1000,0.065
4,quick,1000,0.065
4,quick,1000,0.066
4,quick,1000,0.068
4,quick,10000,0.758
4,quick,10000,0.741
4,quick,10000,0.727
4,quick,10000,0.730
4,quick,10000,0.747
4,quick,100000,8.490
4,quick,100000,8.763
4,quick,100000,8.605
4,quick,100000,8.403
4,quick,100000,8.489
